epoch,seed_count,outer_objective_mean,outer_objective_std,paper_utility_sum_mean,paper_utility_sum_std,expected_accuracy_sum_mean,expected_accuracy_sum_std,expected_accuracy_mean_mean,expected_accuracy_mean_std,expected_latency_sum_s_mean,expected_latency_sum_s_std,expected_latency_mean_s_mean,expected_latency_mean_s_std,split_entropy_HX_mean,split_entropy_HX_std,exit_entropy_HY_mean,exit_entropy_HY_std
0,5,2.14725352623771,0.2200285545018775,2.14725352623771,0.2200285545018775,3.1608110263990374,0.30348999108740454,0.7902027565997594,0.07587249777185114,1.013557500161327,0.17896134264743652,0.25338937504033177,0.04474033566185913,5.257493859736124,4.720050971303935e-08,-0.1710136916478475,0.0003823114976101384
1,5,1.9822033838493298,0.132938831144144,1.9822033838493298,0.132938831144144,2.9030379798008874,0.13503632397673865,0.7257594949502219,0.03375908099418466,0.9208345959515574,0.18182774580469038,0.23020864898788934,0.045456936451172596,5.257265646553039,2.5274706616784632e-05,-0.1723825130224228,7.906952585159373e-05
2,5,2.0665255050619127,0.09015525227621886,2.0665255050619127,0.09015525227621886,3.1649678120430953,0.14100563530201504,0.7912419530107738,0.03525140882550376,1.0984423069811826,0.1522420591705256,0.27461057674529565,0.0380605147926314,5.256687716738383,7.382295841768254e-05,-0.17521463245550792,0.0018576579039660682
3,5,2.1107158844001974,0.12877398892668088,2.1107158844001974,0.12877398892668088,3.3733530936021126,0.17813305873402763,0.8433382734005281,0.04453326468350691,1.2626372092019147,0.2426944583480283,0.3156593023004787,0.060673614587007076,5.255625792566935,0.00017626267860562243,-0.1817802310625712,0.002997117603029705
4,5,2.0329779383318605,0.18372670823222384,2.0329779383318605,0.18372670823222384,3.0632752530352967,0.2947505977290701,0.7658188132588242,0.07368764943226752,1.0302973147034362,0.1713639865108212,0.25757432867585905,0.0428409966277053,5.25368117497762,0.0004411760736102099,-0.19440777761936187,0.005853861806033154
5,5,2.1723892280047066,0.19454289857307971,2.1723892280047066,0.19454289857307971,3.29896412852534,0.24516425498724115,0.824741032131335,0.06129106374681029,1.1265749005206334,0.24149703349893065,0.28164372513015834,0.06037425837473266,5.250297362899781,0.0009702559856245887,-0.21945388002395633,0.011578650654138076
6,5,2.1121073090588123,0.14106538070408728,2.1121073090588123,0.14106538070408728,3.2020765605478103,0.16990184395027058,0.8005191401369526,0.042475460987567645,1.0899692514889978,0.18529829700729814,0.27249231287224945,0.046324574251824534,5.244812565930685,0.0019912168466178237,-0.25307614730199174,0.0178416095138972
7,5,2.0759674681991593,0.10496632717084717,2.0759674681991593,0.10496632717084717,3.257279249062287,0.1495870511979418,0.8143198122655717,0.03739676279948545,1.1813117808631273,0.18523261398833082,0.2953279452157818,0.046308153497082706,5.236505847167969,0.003641221886296101,-0.2935759024779002,0.025561094039799413
8,5,2.242893879930297,0.20733045738540798,2.242893879930297,0.20733045738540798,3.376767093436553,0.20130785328712925,0.8441917733591382,0.05032696332178231,1.1338732135062557,0.1972291964835717,0.2834683033765639,0.049307299120892926,5.2247223392486575,0.005594763400299111,-0.3414083987077077,0.03581574974253744
9,5,2.100195642706997,0.14981389148311627,2.100195642706997,0.14981389148311627,3.323038380482127,0.18440433155436373,0.8307595951205318,0.04610108288859093,1.2228427377751303,0.24838879286062365,0.3057106844437826,0.06209719821515591,5.208545837020874,0.008291679744063063,-0.3944201335032781,0.0363554544798819
10,5,2.351290623499813,0.19882029094100784,2.351290623499813,0.19882029094100784,3.445372088165319,0.36945360046489606,0.8613430220413297,0.09236340011622401,1.0940814646655057,0.2172704701891247,0.2735203661663764,0.05431761754728118,5.187339531834921,0.011383445887255721,-0.44037854046026864,0.0483580980195565
11,5,2.458544228483523,0.22563447049001067,2.458544228483523,0.22563447049001067,3.5017484531964937,0.2642089791766988,0.8754371132991234,0.0660522447941747,1.0432042247129707,0.2646872482646269,0.2608010561782427,0.06617181206615673,5.160586110178629,0.01549027114382406,-0.4913641985972722,0.05749436552090648
12,5,2.3582451085746787,0.14613674545764394,2.3582451085746787,0.14613674545764394,3.479954093829373,0.13450404572552035,0.8699885234573432,0.03362601143138009,1.1217089852546942,0.2325186201046824,0.28042724631367355,0.0581296550261706,5.1272591792424524,0.020854099863272475,-0.5238565880616506,0.05463501935470612
13,5,2.3335535757592343,0.06895973517114953,2.3335535757592343,0.06895973517114953,3.2863078503618572,0.16085856695326642,0.8215769625904643,0.040214641738316605,0.9527542746026232,0.20583304745409156,0.2381885686506558,0.05145826186352289,5.085435772323608,0.027566593424144494,-0.5627802534818649,0.06914809368284278
14,5,2.4797141372666394,0.16810444297799448,2.4797141372666394,0.16810444297799448,3.4717143396205,0.36161054718475316,0.867928584905125,0.09040263679618829,0.9920002023538608,0.24076686008431317,0.2480000505884652,0.06019171502107829,5.035933932240804,0.033505487961309324,-0.5833687098781268,0.06646336955802049
15,5,2.513414084223965,0.14613868739312622,2.513414084223965,0.14613868739312622,3.4597736166462836,0.1460120236792378,0.8649434041615709,0.03650300591980945,0.9463595324223183,0.25328893553190346,0.23658988310557957,0.06332223388297586,4.978779800732931,0.038069883700892856,-0.6100918760617574,0.07044368125483938
