algorithm,step,episode,best_obj,current_obj,utility,evaluations,elapsed_s,curve_type
PPO,0.0,0.0,1.1532632963949938,1.1532632963949938,1.1532632963949938,1.0,0.0,ppo_solution
PPO,338689.0,338689.0,1.1532632963949938,1.1532632963949938,1.1532632963949938,1.0,0.0,ppo_solution
Random,0.0,1.0,-44.421113050084415,-44.421113050084415,-44.421113050084415,1.0,0.0003293000627309084,baseline_progress
Random,1.0,2.0,-2.1538375090748447,-2.1538375090748447,-2.1538375090748447,2.0,0.0005856999196112156,baseline_progress
Random,2.0,3.0,-2.1538375090748447,-41.58986011942021,-2.1538375090748447,3.0,0.0008215999696403742,baseline_progress
Random,3.0,4.0,-2.1538375090748447,-50.68022843309589,-2.1538375090748447,4.0,0.0010615999344736338,baseline_progress
Random,4.0,5.0,-2.1538375090748447,-21.552201942322647,-2.1538375090748447,5.0,0.001286699902266264,baseline_progress
Random,5.0,6.0,-2.1538375090748447,-121.02171965803561,-2.1538375090748447,6.0,0.0015062999445945024,baseline_progress
Random,6.0,7.0,-2.1538375090748447,-45.532087871079675,-2.1538375090748447,7.0,0.001738299848511815,baseline_progress
Random,7.0,8.0,-2.1538375090748447,-50.911638726022765,-2.1538375090748447,8.0,0.0019588000141084194,baseline_progress
Random,8.0,9.0,-2.1538375090748447,-58.882299130513964,-2.1538375090748447,9.0,0.0021786000579595566,baseline_progress
Random,9.0,10.0,-2.1538375090748447,-106.60071052769474,-2.1538375090748447,10.0,0.0023957998491823673,baseline_progress
Random,10.0,11.0,-2.1538375090748447,-19.182769907433595,-2.1538375090748447,11.0,0.0026151000056415796,baseline_progress
Random,11.0,12.0,-2.1538375090748447,-46.77545921133144,-2.1538375090748447,12.0,0.0028377000708132982,baseline_progress
Random,12.0,13.0,-2.1538375090748447,-142.57726678739084,-2.1538375090748447,13.0,0.0030612999107688665,baseline_progress
Random,13.0,14.0,-2.1538375090748447,-94.22929558907201,-2.1538375090748447,14.0,0.0032804999500513077,baseline_progress
Random,14.0,15.0,-2.1538375090748447,-94.92751721262549,-2.1538375090748447,15.0,0.0035027998965233564,baseline_progress
Random,15.0,16.0,-2.1538375090748447,-142.41886203186021,-2.1538375090748447,16.0,0.003733699908480048,baseline_progress
Random,16.0,17.0,-2.1538375090748447,-33.21690421019906,-2.1538375090748447,17.0,0.003955499967560172,baseline_progress
Random,17.0,18.0,-2.1538375090748447,-8.668530034049203,-2.1538375090748447,18.0,0.004173199879005551,baseline_progress
Random,18.0,19.0,-2.1538375090748447,-104.17618328035581,-2.1538375090748447,19.0,0.004393199924379587,baseline_progress
Random,19.0,20.0,-2.1538375090748447,-107.08323211571094,-2.1538375090748447,20.0,0.00461059994995594,baseline_progress
Random,20.0,21.0,-2.1538375090748447,-142.20290309749828,-2.1538375090748447,21.0,0.004831199999898672,baseline_progress
Random,21.0,22.0,-2.1538375090748447,-43.39719185170477,-2.1538375090748447,22.0,0.0050478000193834305,baseline_progress
Random,22.0,23.0,-2.1538375090748447,-45.15110320332965,-2.1538375090748447,23.0,0.005265000043436885,baseline_progress
Random,23.0,24.0,-2.1538375090748447,-110.68133974552008,-2.1538375090748447,24.0,0.005495500052347779,baseline_progress
Random,24.0,25.0,-2.1538375090748447,-10.89408494068142,-2.1538375090748447,25.0,0.005715799983590841,baseline_progress
Random,25.0,26.0,-2.1538375090748447,-44.74872738167456,-2.1538375090748447,26.0,0.00593809993006289,baseline_progress
Random,26.0,27.0,-2.1538375090748447,-31.220992121983116,-2.1538375090748447,27.0,0.006156699964776635,baseline_progress
Random,27.0,28.0,-2.1538375090748447,-98.82029510246075,-2.1538375090748447,28.0,0.006437500007450581,baseline_progress
Random,28.0,29.0,-2.1538375090748447,-98.91826963574556,-2.1538375090748447,29.0,0.006667699897661805,baseline_progress
Random,29.0,30.0,-2.1538375090748447,-58.935561849446415,-2.1538375090748447,30.0,0.006894899997860193,baseline_progress
Random,30.0,31.0,-2.1538375090748447,-21.670946320459887,-2.1538375090748447,31.0,0.007111799903213978,baseline_progress
Random,31.0,32.0,-2.1538375090748447,-62.56354528521578,-2.1538375090748447,32.0,0.007327100029215217,baseline_progress
Random,32.0,33.0,-2.1538375090748447,-50.38600983779403,-2.1538375090748447,33.0,0.007563299965113401,baseline_progress
Random,33.0,34.0,-2.1538375090748447,-102.89528477761239,-2.1538375090748447,34.0,0.00778290000744164,baseline_progress
