algorithm,step,current_obj,best_obj,evaluations,elapsed_s,final_obj
Random,0,-45.05877149709106,-45.05877149709106,1,0.00033849989995360374,
Random,1,-1.6117390776718703,-1.6117390776718703,2,0.0005842999089509249,
Random,2,-41.58986011942021,-1.6117390776718703,3,0.0008117998950183392,
Random,3,-53.21989341614032,-1.6117390776718703,4,0.0010367999784648418,
Random,4,-24.1291588905917,-1.6117390776718703,5,0.0012735000345855951,-1.6117390776718703
Greedy,0,0.7516082788272508,0.7516082788272508,1,0.0,
Greedy,1,1.0444114088696228,1.0444114088696228,4801,0.9697509000543505,
Greedy,2,1.1359788606916403,1.1359788606916403,9601,2.036910400027409,1.1359788606916403
BF,0,-142.7087508211233,-142.7087508211233,1,0.0,
BF,1,1.1359788606916403,1.1359788606916403,9601,2.9359872001223266,1.1359788606916403
